commit	timestamp	description	ssim_avg	psnr_avg	video_bytes_ratio_avg	composite_score	status
a80aeb4	2026-04-05T11:33:28.949120+00:00	loop103 discard: raise standard br_tab to [1449,1130,976,896]	0.975504	40.0844	1.013493	0.952514	discard
a80aeb4	2026-04-05T11:34:33.225125+00:00	loop104 discard: tilt standard br_tab toward later entries [1444,1126,978,900]	0.975506	40.0846	1.013854	0.952464	discard
a80aeb4	2026-04-05T11:35:21.201902+00:00	loop105 discard: raise only standard br_tab tail to [1446,1128,976,896]	0.975504	40.0844	1.013493	0.952514	discard
1fa413d	2026-04-05T11:36:06.610699+00:00	loop106 keep: raise only standard br_tab front to [1449,1130,974,894]	0.975504	40.0843	1.013318	0.952541	keep
1fa413d	2026-04-05T11:36:49.415327+00:00	loop107 discard: raise standard br_tab front to [1452,1132,974,894]	0.975504	40.0843	1.013318	0.952541	discard
8dbc6b9	2026-04-05T11:37:48.543369+00:00	loop108 keep: firm lt luma corner further and raise lt br_tab slightly	0.975519	40.0850	1.012059	0.952720	keep
21e7522	2026-04-05T11:38:36.024923+00:00	loop109 keep: raise lt br_tab to [744,579,506,455]	0.975528	40.0891	1.013029	0.952830	keep
0b07335	2026-04-05T11:39:23.880119+00:00	loop110 keep: raise lt br_tab to [750,584,510,459]	0.975537	40.0912	1.013983	0.952956	keep
54bf3f9	2026-04-05T11:40:10.540448+00:00	loop111 keep: raise lt br_tab to [756,589,514,463]	0.975547	40.1009	1.014952	0.953062	keep
14717d4	2026-04-05T11:40:55.240943+00:00	loop112 keep: raise lt br_tab to [762,594,518,467]	0.975556	40.1006	1.015880	0.953180	keep
00318f4	2026-04-05T11:41:40.373533+00:00	loop113 keep: raise lt br_tab to [768,599,522,471]	0.975565	40.1077	1.016848	0.953292	keep
f3fcae2	2026-04-05T11:42:19.075098+00:00	loop114 keep: raise lt br_tab to [774,604,526,475]	0.975573	40.1145	1.017807	0.953393	keep
d17c252	2026-04-05T11:42:58.061141+00:00	loop115 keep: raise lt br_tab to [780,609,530,479]	0.975581	40.1124	1.018734	0.953513	keep
b3cf06b	2026-04-05T11:46:49.062592+00:00	loop116 keep: jump lt br_tab to [798,624,542,491]	0.975604	40.1297	1.021489	0.953840	keep
157ac1b	2026-04-05T11:47:25.968233+00:00	loop117 keep: jump lt br_tab to [816,639,554,503]	0.975629	40.1396	1.024279	0.954162	keep
3c3c4e0	2026-04-05T11:48:12.912304+00:00	loop118 keep: jump lt br_tab to [840,659,570,519]	0.975656	40.1516	1.027927	0.954569	keep
cd5d363	2026-04-05T11:49:01.590151+00:00	loop119 keep: jump lt br_tab to [876,689,594,543]	0.975695	40.1721	1.033218	0.954766	keep
98ba4c2	2026-04-05T11:49:41.577330+00:00	loop120 keep: jump lt br_tab to [930,734,630,579]	0.975744	40.1910	1.040601	0.954835	keep
98ba4c2	2026-04-05T11:50:27.583782+00:00	loop121 discard: jump lt br_tab to [1002,794,678,627]	0.975795	40.2088	1.049193	0.954213	discard
98ba4c2	2026-04-05T11:51:13.402959+00:00	loop122 discard: midpoint lt br_tab to [966,764,654,603]	0.975773	40.2014	1.045080	0.954706	discard
a7fe99a	2026-04-05T11:51:59.493251+00:00	loop123 keep: lower-midpoint lt br_tab to [948,749,642,591]	0.975759	40.1959	1.042857	0.954892	keep
a7fe99a	2026-04-05T11:52:41.676729+00:00	loop124 discard: upper-midpoint lt br_tab to [957,756,648,597]	0.975767	40.1984	1.043979	0.954846	discard
19a77f3	2026-04-05T11:53:21.119706+00:00	loop125 keep: raise lt br_tab to [952,752,645,594]	0.975763	40.1935	1.043410	0.954909	keep
19a77f3	2026-04-05T11:54:13.937364+00:00	loop126 discard: raise lt br_tab to [954,754,646,595]	0.975764	40.1950	1.043620	0.954887	discard
19a77f3	2026-04-05T11:55:02.255276+00:00	loop127 discard: raise lt PRORES_MB_LIMITS to 3000	0.975763	40.1935	1.043410	0.954909	discard
19a77f3	2026-04-05T11:56:22.777202+00:00	loop128 discard: lower mbs_per_slice to 4	0.975580	40.1626	1.101391	0.945100	discard
ef6716b	2026-04-05T11:57:06.269335+00:00	loop129 keep: soften lt luma high-frequency tail	0.975763	40.1937	1.043459	0.954916	keep
ef6716b	2026-04-05T11:57:52.459227+00:00	loop130 discard: soften lt chroma high-frequency tail	0.975763	40.1937	1.043459	0.954916	discard
ef6716b	2026-04-05T11:58:32.922397+00:00	loop131 discard: raise lt br_tab to [957,756,648,597] atop softer luma tail	0.975766	40.1986	1.044015	0.954849	discard
ef6716b	2026-04-05T11:59:24.824645+00:00	loop132 discard: lower lt br_tab to [948,749,642,591] atop softer luma tail	0.975759	40.1960	1.042901	0.954898	discard
ef6716b	2026-04-05T12:00:22.078485+00:00	loop133 discard: further soften lt luma high-frequency tail	0.975762	40.1930	1.043564	0.954911	discard
ef6716b	2026-04-05T12:01:25.675095+00:00	loop134 discard: partially revert lt luma tail softening	0.975763	40.1934	1.043429	0.954912	discard
ef6716b	2026-04-05T12:02:04.187882+00:00	loop135 discard: lower proxy br_tab to [370,298,270,238]	0.975739	40.1850	1.041994	0.954727	discard
ef6716b	2026-04-05T12:07:51.529495+00:00	loop136 discard: raise standard max_quant to 9	0.975765	40.1938	1.043468	0.954915	discard
91c27d4	2026-04-05T12:08:35.012144+00:00	loop137 keep: jump proxy br_tab to [396,318,288,254]	0.975827	40.2108	1.047686	0.955257	keep
91c27d4	2026-04-05T12:09:17.117126+00:00	loop138 discard: raise proxy PRORES_MB_LIMITS to 1800	0.975827	40.2108	1.047686	0.955257	discard
3d6b261	2026-04-05T12:09:58.745656+00:00	loop139 keep: jump proxy br_tab to [414,332,300,264]	0.975860	40.2178	1.050947	0.955473	keep
3d6b261	2026-04-05T12:10:39.092236+00:00	loop140 discard: jump proxy br_tab to [438,350,316,278]	0.975896	40.2281	1.055024	0.954995	discard
3d6b261	2026-04-05T12:11:22.407324+00:00	loop141 discard: midpoint proxy br_tab to [426,341,308,271]	0.975879	40.2247	1.053043	0.955223	discard
3d6b261	2026-04-05T12:12:01.955281+00:00	loop142 discard: raise lt max_quant to 10	0.975871	40.2185	1.051054	0.955463	discard
f9e3c80	2026-04-05T12:13:13.120272+00:00	loop143 keep: firm proxy luma low-frequency corner atop higher proxy br_tab	0.975844	40.2192	1.048111	0.955796	keep
f9e3c80	2026-04-05T12:13:59.431165+00:00	loop144 discard: raise proxy br_tab to [426,341,308,271] atop firmer luma corner	0.975863	40.2256	1.050151	0.955623	discard
f9e3c80	2026-04-05T12:14:52.865762+00:00	loop145 discard: raise proxy br_tab to [420,336,304,268] atop firmer luma corner	0.975853	40.2219	1.049290	0.955722	discard
7dce61b	2026-04-05T12:15:37.162025+00:00	loop146 keep: firm lt luma low-frequency corner atop softer tail	0.975848	40.2269	1.043966	0.956315	keep
a94951a	2026-04-05T12:16:33.900264+00:00	loop147 keep: extend firmer lt luma weighting into the next low-frequency band	0.975850	40.2280	1.042918	0.956513	keep
7d8f67f	2026-04-05T12:17:29.104218+00:00	loop148 keep: carry firmer lt luma weighting down the first two columns	0.975853	40.2331	1.041581	0.956767	keep
8a42df5	2026-04-05T12:18:22.771891+00:00	loop149 keep: extend firmer lt luma weighting into the lower-row third column	0.975854	40.2333	1.041460	0.956791	keep
82c1beb	2026-04-05T12:19:18.995399+00:00	loop150 keep: firm lt lower-row fourth coefficient band	0.975854	40.2335	1.041386	0.956793	keep
82c1beb	2026-04-05T12:22:26.252356+00:00	loop151 discard: lower lt br_tab to [930,734,630,579] atop firmer lt luma	0.975837	40.2257	1.038721	0.956705	discard
82c1beb	2026-04-05T12:23:11.149864+00:00	loop152 discard: lower only lt br_tab tail to [952,752,630,579]	0.975837	40.2257	1.038721	0.956705	discard
14d730e	2026-04-05T12:24:06.643693+00:00	loop153 keep: broaden firmer lt luma weighting across the lower-half first four columns	0.975858	40.2325	1.040709	0.956900	keep
14d730e	2026-04-05T12:24:58.778160+00:00	loop154 discard: firm lt chroma low-frequency block in the lower half	0.975858	40.2325	1.040709	0.956900	discard
fa89990	2026-04-05T12:25:43.499139+00:00	loop155 keep: extend firmer lt luma weighting to the lower-half fifth coefficient	0.975858	40.2325	1.040664	0.956906	keep
5041278	2026-04-05T12:46:09.686307+00:00	loop156 keep: raise lt chroma quant scale to 120	0.975062	38.1267	1.034815	0.956999	keep
5041278	2026-04-05T12:46:48.135110+00:00	loop157 discard: raise lt chroma quant scale to 140	0.974295	37.7180	1.030387	0.956745	discard
1e510ca	2026-04-05T12:47:29.259928+00:00	loop158 keep: raise lt chroma quant scale to 130	0.974894	38.0359	1.032863	0.957143	keep
1e510ca	2026-04-05T12:48:07.866819+00:00	loop159 discard: raise lt chroma quant scale to 135	0.974394	37.7458	1.030932	0.956837	discard
f685f2a	2026-04-05T12:48:50.320820+00:00	loop160 keep: raise proxy chroma quant scale to 110 atop lt chroma 130	0.974701	37.4941	1.029215	0.957443	keep
f685f2a	2026-04-05T12:49:36.013935+00:00	loop161 discard: raise proxy chroma quant scale to 120 atop lt chroma 130	0.974258	37.1956	1.027090	0.957215	discard
f685f2a	2026-04-05T12:50:14.828380+00:00	loop162 discard: raise proxy chroma quant scale to 115 atop lt chroma 130	0.974517	37.4085	1.028347	0.957377	discard
f685f2a	2026-04-05T12:50:53.246178+00:00	loop163 discard: lower global chroma error weight to 80 atop lt/proxy chroma scaling	0.974637	37.4931	1.029209	0.957380	discard
f685f2a	2026-04-05T12:51:33.348459+00:00	loop164 discard: lower global chroma error weight to 90 atop lt/proxy chroma scaling	0.974701	37.4941	1.029220	0.957441	discard
f685f2a	2026-04-05T12:52:14.636549+00:00	loop165 discard: raise global luma error weight to 110 atop lt/proxy chroma scaling	0.974701	37.4941	1.029221	0.957441	discard
1e19f99	2026-04-05T12:52:54.093476+00:00	loop166 keep: set global ac_deadzone_percent to 5 atop lt/proxy chroma scaling	0.974694	37.4983	1.028943	0.957469	keep
1e19f99	2026-04-05T12:53:40.614047+00:00	loop167 discard: raise global ac_deadzone_percent to 10 atop lt/proxy chroma scaling	0.974695	37.4958	1.029075	0.957421	discard
eb76cc2	2026-04-05T12:54:37.139831+00:00	loop168 keep: raise standard chroma quant scale to 110 atop lt/proxy chroma scaling and ac deadzone 5	0.974388	35.5135	1.023647	0.957631	keep
618093d	2026-04-05T12:55:20.935274+00:00	loop169 keep: raise standard chroma quant scale to 120 atop lt/proxy chroma scaling and ac deadzone 5	0.974339	35.4374	1.022473	0.957651	keep
618093d	2026-04-05T12:55:57.017655+00:00	loop170 discard: raise standard chroma quant scale to 130 atop lt/proxy chroma scaling and ac deadzone 5	0.973618	34.9590	1.018671	0.956493	discard
618093d	2026-04-05T12:56:33.318113+00:00	loop171 discard: raise standard chroma quant scale to 125 atop lt/proxy chroma scaling and ac deadzone 5	0.973681	34.9726	1.018823	0.956564	discard
da91437	2026-04-05T12:57:17.666787+00:00	loop172 keep: raise hq chroma quant scale to 105 atop chroma scaling and ac deadzone 5	0.974321	35.3915	1.022537	0.957661	keep
094567b	2026-04-05T12:57:56.460561+00:00	loop173 keep: raise hq chroma quant scale to 110 atop chroma scaling and ac deadzone 5	0.974288	35.2891	1.022606	0.957674	keep
094567b	2026-04-05T12:58:49.719223+00:00	loop174 discard: raise hq chroma quant scale to 115 atop chroma scaling and ac deadzone 5	0.973627	32.5555	1.014664	0.956048	discard
094567b	2026-04-05T12:59:26.871158+00:00	loop175 discard: raise hq chroma quant scale to 112 atop chroma scaling and ac deadzone 5	0.974285	35.2884	1.022606	0.957672	discard
094567b	2026-04-05T13:00:03.481786+00:00	loop176 discard: raise global ac_deadzone_percent to 7 atop chroma scaling	0.974286	35.2837	1.022707	0.957625	discard
094567b	2026-04-05T13:00:39.733466+00:00	loop177 discard: lower global ac_deadzone_percent to 4 atop chroma scaling	0.974289	35.2875	1.022596	0.957672	discard
